DATE,CLVMNACSCAB1GQFR
1975-01-01,237727.0
1975-04-01,237076.0
1975-07-01,237162.0
1975-10-01,242059.0
1976-01-01,244436.0
1976-04-01,247810.0
1976-07-01,250549.0
1976-10-01,252236.0
1977-01-01,255139.0
1977-04-01,255962.0
1977-07-01,258288.0
1977-10-01,260391.0
1978-01-01,263824.0
1978-04-01,266635.0
1978-07-01,268767.0
1978-10-01,271679.0
1979-01-01,274054.0
1979-04-01,275524.0
1979-07-01,279153.0
1979-10-01,279886.0
1980-01-01,281195.6
1980-04-01,279193.8
1980-07-01,279686.4
1980-10-01,279137.8
1981-01-01,280013.7
1981-04-01,281938.9
1981-07-01,283787.0
1981-10-01,285467.4
1982-01-01,287857.3
1982-04-01,289806.8
1982-07-01,289800.7
1982-10-01,291505.8
1983-01-01,292730.4
1983-04-01,292785.2
1983-07-01,293078.2
1983-10-01,294875.4
1984-01-01,296072.1
1984-04-01,297313.3
1984-07-01,299401.6
1984-10-01,299198.3
1985-01-01,299954.0
1985-04-01,302608.5
1985-07-01,304276.3
1985-10-01,305631.5
1986-01-01,306666.1
1986-04-01,310028.8
1986-07-01,311534.5
1986-10-01,311819.1
1987-01-01,312291.2
1987-04-01,316988.4
1987-07-01,319079.4
1987-10-01,323679.5
1988-01-01,327810.4
1988-04-01,330490.3
1988-07-01,334719.1
1988-10-01,337581.3
1989-01-01,341642.7
1989-04-01,345637.2
1989-07-01,349436.7
1989-10-01,353924.2
1990-01-01,355508.2
1990-04-01,357281.8
1990-07-01,359087.2
1990-10-01,359070.9
1991-01-01,359516.6
1991-04-01,361010.8
1991-07-01,361776.9
1991-10-01,364199.8
1992-01-01,367123.0
1992-04-01,367486.9
1992-07-01,367162.3
1992-10-01,366450.1
1993-01-01,364126.1
1993-04-01,363959.2
1993-07-01,364611.7
1993-10-01,365423.9
1994-01-01,367932.9
1994-04-01,371718.0
1994-07-01,374903.3
1994-10-01,378107.0
1995-01-01,379498.3
1995-04-01,381851.3
1995-07-01,382453.1
1995-10-01,382568.8
1996-01-01,385195.5
1996-04-01,385624.0
1996-07-01,387686.1
1996-10-01,388616.7
1997-01-01,389874.8
1997-04-01,393764.4
1997-07-01,397750.6
1997-10-01,401802.3
1998-01-01,405386.5
1998-04-01,408798.8
1998-07-01,411755.8
1998-10-01,414271.8
1999-01-01,418955.7
1999-04-01,420005.1
1999-07-01,424575.7
1999-10-01,430651.5
2000-01-01,435126.6
2000-04-01,439741.5
2000-07-01,442692.5
2000-10-01,446355.7
2001-01-01,448596.3
2001-04-01,449152.0
2001-07-01,450304.6
2001-10-01,450018.3
2002-01-01,452579.7
2002-04-01,454444.6
2002-07-01,455538.3
2002-10-01,456607.3
2003-01-01,457116.2
2003-04-01,456037.7
2003-07-01,459106.0
2003-10-01,462244.6
2004-01-01,466797.9
2004-04-01,469443.3
2004-07-01,470816.6
2004-10-01,474308.4
2005-01-01,475432.9
2005-04-01,476737.9
2005-07-01,479276.7
2005-10-01,482511.6
2006-01-01,486318.3
2006-04-01,491326.1
2006-07-01,491606.3
2006-10-01,495239.9
2007-01-01,498934.1
2007-04-01,502184.6
2007-07-01,504582.8
2007-10-01,505554.0
2008-01-01,508036.6
2008-04-01,505271.4
2008-07-01,504327.4
2008-10-01,496786.4
2009-01-01,488396.3
2009-04-01,488255.0
2009-07-01,489059.4
2009-10-01,492593.9
2010-01-01,494305.0
2010-04-01,496674.9
2010-07-01,499783.4
2010-10-01,503221.2
2011-01-01,508421.9
2011-04-01,507918.8
2011-07-01,510332.4
2011-10-01,511352.7
2012-01-01,511521.3
2012-04-01,510693.2
2012-07-01,511941.3
2012-10-01,511280.8
2013-01-01,511697.0
2013-04-01,515126.7
2013-07-01,514578.2
2013-10-01,517989.0
2014-01-01,518058.3
2014-04-01,518496.1
2014-07-01,521408.5
2014-10-01,521251.9
2015-01-01,524050.4
2015-04-01,524604.1
2015-07-01,525757.0
2015-10-01,526850.2
2016-01-01,530134.2
2016-04-01,528563.7
2016-07-01,530004.0
2016-10-01,533157.8
2017-01-01,537164.0
2017-04-01,541321.6
2017-07-01,546020.1
2017-10-01,549322.0
2018-01-01,549617.2
2018-04-01,552063.1
2018-07-01,554281.8
2018-10-01,557493.4
2019-01-01,561265.7
2019-04-01,565301.2
2019-07-01,565275.3
2019-10-01,563320.2
2020-01-01,531389.3
2020-04-01,458474.7
2020-07-01,547392.1
2020-10-01,539730.3
2021-01-01,540979.3
2021-04-01,546304.1
2021-07-01,563851.1
2021-10-01,566350.7
2022-01-01,565162.5
